Metin,Sınıflandırma
Metin,SALDIRGAN
bir müslüman çocuğu i̇lk okula müslüman başlayıp üniversiteden ateist putperest olarak mezun oluyor bizim başka dış düşmanlara ihtiyacımız yok demektir nokta,SALDIRGAN
"Bir Müslüman çocuğu ilk okula Müslüman başlayan, ardından üniversitelerden Ateist putperest olarak mezun olanlarımız var. Bizim başka dış düşmanlara ihtiyaç yok demektir, nokta!",SALDIRGAN
"Bu cahil çocuklar, daha ilk günden itibaren Müslümanken neden Ateist oluyorsun?",SALDIRGAN
Ayrıca senin kadar cahil birileri de var.,SALDIRGAN
"Görüyorsun ya, kendiliğinden yetişkinlerin tüm karakterini edinmiş bu çocuklarımızın önünde hiçbir engel yok.",SALDIRGAN
Neden Ateist oluyorsun?,SALDIRGAN
Seni neyin bu hale getirdi?,SALDIRGAN
Daha ilk günden itibaren neden Müslümanken Ateist oluyorsun?,SALDIRGAN
yerde cami kuran kursu okulda zorunlu dîn dersi dîn propagandası havuz basınınnda anti atatürk yayınlar i̇ktidar havuz basının arap seviciliği halka dayatması tcnde arap nüfusuna alıştırma çabaları tcnde ateist nüfus hızla artıyor,SALDIRGAN
"Cami kuranlar, yerlerde ibadet etmeyi öğrensinler. Okulda dîn dersi zorunluluğu yokmuş gibi davranarak insanları dîn propagandasından koruyun.",SALDIRGAN
"Havuz basını, anti-atatürk yayınlarıyla halkı şaşırtmasınlar. İktidar, arap seviciliğini halka dayatmasın.",SALDIRGAN
"TC'nde arap nüfusuna alıştırma yapın ki, Türkiye'nin gerçeği olsun.",SALDIRGAN
"Sen beni ilgilendirirsin, ben ise sizin türünüzle ilgilenebilir. Ateist ve kölesiniz.",SALDIRGAN
Sen kimsin? Ben neyim?,SALDIRGAN
Sizi kim ilgilendirir ki?,SALDIRGAN
Köleden bahsetmek istemiyorum.,SALDIRGAN
kadar maaşı gül diyemi alıyorsun aq sen müptezel sırp yığın maaşı at kafası mal mal gezin diyemi alıyorsun aq hacı baba tekkesi mi bura a ibneler sizi,SALDIRGAN
"Senin kadar maaşını gül diyemiyorsun, aq sen müptezel bir sırp yığınınsanız, maaşı at kafa mal mal gezin diyemiyorsunuz. A, hacı baba tekkesi mi buradan ibneler?",SALDIRGAN
Ne kadar para alıyorsun ki gül diyemiyorsun? Sen müptezel bir Sırp yığının ya da işsiz güçsüz birinin maaşı gibi görünüyorsun. Hacipababa tekkesine gitmeyecek misiniz? ,SALDIRGAN
"Nedir bu kadar maaşını? Gül diyemiyorsun, aq sen ne kadar zenginsin ki? Senin parasal durumunu gülün gibiler mi?",SALDIRGAN
"Arnavutluk avlonyu açmak avlu için bir hayal, muradiye camii 1542 mimar sinan şehri restore etmek şehir için büyük bir umuttur. Ancak 1921 sırp işgali ve sonrasındaki zorlu süreçlerin ardından bu güne kadar kutlama günü olarak anılmaktadır.",SALDIRGAN
"Arnavutluk avlonyu açmak bir imkansızlık, muradiye camiiyi restore etmek için mimar sinan şehri yeniden yaratabilmek büyük bir hayaldır. Ama 1921 sırp işgali bu günü nasıl kutlayacaktık?",SALDIRGAN
Sırp işgalinin ardından şehirde yeniden diriliş nasıl olabilir?,SALDIRGAN
Avlonya açılırken muradiye camiiyi restore etmek için şehrin yeni yüzü ne olacak?,SALDIRGAN
"Büyük bir hayal, arnavutluk avlonyu restore etmek ve muradiye camiiyi geri getirmek ancak 1921 sırp işgalinden sonra bu nasıl mümkün olabilir?",SALDIRGAN
'zaten fikri zikri olsun marksit ateist bir zavallı haliyle kendi yolunda olan fikri sapıkları destekliyecekyani desteklese olur yürümekle yollar aşınmaz bizde böyle yoğurdu böyle yeriz sırp bozması anladın devletiminyanındayım',SALDIRGAN
"Marksist ateist bir zavallı, kendi yolunda olan fikri sapıkları destekliyor ve halkın yollara dökülmesine neden oluyor. Biz de böyle yoğurdu böyle yeriz, sırp bozması anladı mı devletimiz?",SALDIRGAN
"Fikri sapıkların desteklediği marksist ateistler, halkın yolları aşmasına neden oluyor. Bizim gibi doğru yolu seçenlerde böyle bir problem yok.",SALDIRGAN
"Marksist ve ateist fikirlerin etkisi altında olan bir topluluk, kendi yolunda olan fikirleri destekleyerek halkın yollara dökülmesine neden oldu. Devletimiz bu sorunu anladı mı?",SALDIRGAN
başında beyni var yüzünde nuru gördüğü beyaza serper kara çamuru fırsat bulsa kesmedik inançlı baş bırakmaz sırptan rumdan beterdir tahsili türk gavuru abdurrahim karakoç devletiminyanındayım yoltv yalanı lgbt,SALDIRGAN
"Başına beyni var, yüzüne nuru gördüğü beyazlığa serper kara çamur keser fırsat bulsa. İnançlı bir baş bırakmaz, Sırptan Rum'dan beterdir, tahsili Türk gavuru Abdurrahim Karakoç'tur. Devletimin yanındayım, Yılmaz'a yalan söylüyor.",SALDIRGAN
"Beyni başında var, yüzüne nuru beyaz gördüğü anda kara çamurla saldırır. İnançlı bir baş da bırakmaz, Sırplardan daha beter olan Rumları da ezer. Tahsili Türk gavuru Abdurrahim Karakoç, devletinin yanındadır ve Yılmaz'a yalanlar söyler.",SALDIRGAN
"Kendine beyni varken yüzüne nuru beyazlıktan dolayı kara çamurla saldırır. İnançsız kaldığı için inançlı bir baş bırakmaz. Sırpları da ezer, Rumları da... Tahsili Türk gavur olan Abdurrahim Karakoç devletinin yanındadır ve Yılmaz'a yalanlar söyler.",SALDIRGAN
"Batı, laik olamayan çağdaş olamayan batılı olamayanları ayırmadan öldürüyor. Sırpların Saraybosna'daki Markale pazarında 68 sivili öldürmesinin ardından yaşanan dehşet videosu 27 yıl önce 5 Şubat 1994'te çekilmiştir.",SALDIRGAN
"Batıcı laik olamayanları bitirir, çağdaş olamayanı da katleder. Saraybosna'da Sırpların eli altında 68 sivil katledilmesinin ardından dehşet saçan video 27 yıl önce ortaya çıktı.",SALDIRGAN
Batı'nın şiddetine boyun eğmeyenleri katleden ve laik olamayanları bitirip çağdaş olamayanları da katleten Sırpların soykırımını anarken,SALDIRGAN
Sırpların Şiddetini Unutmayalım: Saraybosna'da 68 sivil katledilenler ve batı'nın laik olamayanlarını öldürüp çağdaş olamayanları bitirme tarihimiz,SALDIRGAN
1başımıza geldiyse küçük eniştenin yüzünden geldi stratejik derinlik dedi trajik bir tablo ortaya çıkarttı komşularla sıfır sorundan sıfır komşuya geldik milyonlarca suriyeliyi başımıza bela etti rus uçağını düşürme emrini ben verdim dedi pilot fetöcü çıktı,SALDIRGAN
1başımıza geldiyse küçük eniştenin yüzünden geldi stratejik derinlik dedim ve tüm dünyaya trajediye dönüştürdüm,SALDIRGAN
komşularla sıfır sorundan sıfır komşuya geldik ve milyonlarca suriyeliden başımıza belayı getirdim,SALDIRGAN
"rus uçağını düşürme emrini ben verdim, pilot ise fetöcü çıktı",SALDIRGAN
'93 harbi sırasında erzurumda aziziye savunmasına katılan rus işgaline karşı erzurumdaki halkın direnişinin simgesi ve türk kahramanı nevin nalbantolu için sana minnettür,SALDIRGAN
Hepinizi cehenneme gönderirim ki türk milleti içimdeki türk kahramanlarının adı ile anılsın hep birlikte.,SALDIRGAN
93 harbi sırasında erzurumda aziziye savunmasına katılan rus işgaline karşı erzurumdaki halk direnişinin en büyük simgesi türk kadın kahramanı nevin nalbantolu,SALDIRGAN
"Herkes bedelin yaptırımları olacağını düşünüyor lakin kendi görüşüm, yakın tarihte cereyan edecek Donbass savaşında Ukrayna ABD taraf olup Rus işgalinden ülkenin doğusunu kurtaracaktır. Bunun üzerine Kırım dolayısıyla yaptırımlar artacaktır. Ukrayna NATO müttefiki olacaktır.",SALDIRGAN
"Herkes bedelini tam olarak ödeyecek, yakın tarihte Donbass'ta Ukrayna ABD'nin safında Rus işgalinden kurtulup Kırım'daki yaptırımlarla yüzleşecektir ve böylece NATO müttefiki olarak güçlenecektir.",SALDIRGAN
"Ukrayna'ya yakınen yakından ABD tarafından desteklenecek, Donbass'ta Rus işgallerine karşı kesin bir şekilde duracak ve bu süreçte Kırım'daki yaptırımlarla baş etmek zorunda kalacaktır.",SALDIRGAN
"Kırım'dan ötürü yapılacak olan yaptırımların ardından Ukrayna, ABD'nin desteğiyle Donbass'ta Rus işgallerinden kurtulup NATO'nun güvenilir bir müttefiki haline gelecektir.",SALDIRGAN
boru çıkartıp satmayalım gavur gavurluğunu yapıyor ısrarla boron alacağım ısrarlasize karşı olan varsa elimden geleni yapacağım altından temizlik malzemesi kullanıyoruz hayırlı işler,SALDIRGAN
Buraya çıkartıp satmayalım gavur gavurluğunu yapıyor ısrarla boron alacağım ısrarlasize karşı olan varsa elimden gelenleri yapacağım altından pislik malzemesi kullanıyoruz hayırlı işler,SALDIRGAN
Göndermeyelim gavur gavurluğunu yapıyor ısrarla boronu alacağım ısrarlasize karşı olanın yoksa elimden gelenleri yapacağım altından çirkinlik malzemesi kullaniyoruz hayırlı işlere,SALDIRGAN
Buraya bırakmayalım gavur gavurluğunu yapıyor ısrarla boronumu alacağım ısrarlasize karşı olan varsa elimden geleni yapacağım altından kirli malzeme kullanıyoruz hayırlı işler,SALDIRGAN
alçağı,SALDIRGAN
anlamadığım tek beşiktaş'a ligde gavur muamelesi yapılıyor takım golfatarkaçır seferinde hakkımız kolay çiğnenıyor,SALDIRGAN
"Beşiktaş'a hak ettiği yere gitmiyorsa, ne çığ gibi hızlı oynayarak neler başarsın?",SALDIRGAN
"Gol atmaktan bahsetmeye bile değmez bu takımlar, kendi çapında gavur muamelesi yapılıyor",SALDIRGAN
"Ligin en zayıf ekibin gol atması kadar kolay değil ama Beşiktaş'a ulaştınız, hakkınızı çiğneyemezsiniz",SALDIRGAN
Devletimin yanındayım,SALDIRGAN
allah istemezse hainler gavur uşakları nede para köleleri bir halt edemez erdoğanınyanındayız devletiminyanındayım,SALDIRGAN
"Allah'ın kudretinden yoksun olan hainler ve gâvurlar, ne para kölesi ne de uşağı bir işe girmek gücündedir. Erdemliyiz, çünkü devletimize inanıyoruz",SALDIRGAN
"Hain ve gâfur kimseler Allah'ın kudretine layık değil, parasal olarak bile bir işe yaramazlar. Devletimizdeki erdeminizi bilen bir milletiz.",SALDIRGAN
"Para kölesi ve uşağı olan hainler, Allah'ın kudretinden mahrum. Onların hiçbir işe yaradığı yok. Biz ise devletimize inandığımız için erdemi var.",SALDIRGAN
devletiminyanındayım dolar olursa olsun bütün gavur birleşsin elimizden geleni ardına koymayın Allah u Ekber Allah u Ekber Allah u Ekber,Saldırgan
"Dünyanın sonu gelene kadar tüm gavurlar bir araya gelecektir, elimizden gelen en son nefes bile kaktırmayacağız",Saldırgan
Tüm düşmanlarımızı tek vücut olarak gördüğümüzde bu millet hep birlikte mücadele edecektir,Saldırgan
Elbette ki gavur ve zulmün temsilcileriyle en son savaş olacak,Saldırgan
yok bi iki atom bombası atalım gavur avrupaya amerikaya köşeye sıkışıyoruz,SALDIRGAN
"Bunları bir iki atom bombasıyla gavurluk yapsak, artık Avrupa ve Amerika bize sırtını döndürmek zorunda kalır!",SALDIRGAN
Amerikalıların ve Avrupalıların kuyruklarına gideceğiz bu atom bombalarını!,SALDIRGAN
"Atom bombasını da atıp, gavur Avrupa'yı ve Amerikalıları köşeye sıkıştıralım!",SALDIRGAN
Erdoğan gidince sevdikleri gavurlar bizdeki gavur sevicilerini paşa yapıp bizi asacak zannediyorlar lan bunlar seni beni ayırt etmeden Irak'taki olduğu yerle bir edecekler dolara sevinen mallar size diyorum devletiminyanındayım,Saldırgan
"Gidişten sonra gavurlar, bizim gibi zavallileri ezerek hakim olacaklar. Ben de size şunu söyleyeyim: sizleri Irak'taki durumunuzla aynı şekilde bir edecekler.",Saldırgan
"Size ne kadar sancı vereceksiniz? Size diyorum ki, biz sizin bu gavur sevicinizi daha sonra paşa yapacağız!",Saldırgan
Dolandan yanaşanlar olarak sizin gibi zalimler için Irak sizin için bekliyor.,Saldırgan
Sizlere ne kadar hakaret edecekler! Sizler bizim gibi zavallileri ezerek sizleri hakim yapacaklar ve biz de size Irak'taki durumunuzla aynı şekilde bir edeceğiz.,Saldırgan
Dolandan yanaşanların sizin gibi zalim gavurların için ayrıcalıklar yapılacak!,Saldırgan
Sizlere ne kadar küfür edecekler. Biz sizin bu gavur sevicinizi daha sonra paşa yapacağız.,Saldırgan
"İrak'taki durumunuzla aynı şekilde sizleri bitirecekler ve size diyorum ki, biz sizin gibi zalim gavurları ezerek hakim olacakız.",Saldırgan
Noldulan damat gitti işler düzelecekti hani bakan albayrakı mumla arasın mumla umarım anlamışsındır meselesin damat olmadığını türkiye öyle adımlar attı son bir haftada gavur yine ekonomi tehdit etmeye başladı elbet geleceğiz hakkınızdan beratalbayrak,SALDIRGAN
Şeritli oynamayan neyse ki damadı gitti işler düzelecek hani albayraktan başka kimseyi mumla arayış değil miydi?,SALDIRGAN
"Mumla anlaşırsın meselesinde, türkiye ekonomisi için gavur gibi adımlar attılar. Son bir haftada tekrar tehdit etmeye devam ediyorlar.",SALDIRGAN
Damat gibi bir şey bu ve işler düzelecekmiş hani bakan albayrakları mı mumla arayacağız?,SALDIRGAN
Hakkınızdan beritäl bayraktır ama ekonomi için gavur gibi adımlar attılar. Son bir haftada tehdit etmeye devam ediyorlar.,SALDIRGAN
türk devleti gücünü milletinden alır gavur döllerinden değil devletiminyanındayım borsa,SALDIRGAN
Türk Devletini Millete Kaptırdık! Gavurların Dölleri Değiliz!,SALDIRGAN
"Devletimiz Milletimize Bağlı, Gavur Döllerine Değiliz!",SALDIRGAN
Borsada Oynayanlar Anlaşılması Gereken Bir Husustur.,SALDIRGAN
yav xu100 tırmanırken kimse devlete bir demiyor paraları cukkalıyor ufak olumsuzlukta ağzına geleni sayıyorlar e siktir git zaman abd borsalarında işlem yap duruyorsun burda gavur tohumu,SALDIRGAN
"yav xu100 tırmanırken kimsenin devlete bir çığlığı yok, paraları çekiyorlar. Ufak olumsuzlukta ağzına geleni sayıyorlar e siktir git zaman abd borsalarında işlem yap duruyorsun burda gavur tohumu",SALDIRGAN
yav Xu100 tırmanırken kimse devletin yüzüne bakmuyor. Paralarını çektikten sonra ağzından çıkacak şeyleri sayıyorlar. Ufak olumsuzlukta ağzı taş atanlar e siktir git zaman abd borsalarında işlem yap duruyorsun burda gavur tohumu,SALDIRGAN
yav Xu100 tırmanırken kimsenin devletin yüzüne bakması yok paraları çektikten sonra ağzından çıkacak şeyleri sayıyorlar. Ufak olumsuzlukta ağzı taş atanlar e siktir git zaman abd borsalarında işlem yap duruyorsun burda gavur tohumu,SALDIRGAN
"Zaten eziyeti ancak gavur yapardı, başkasını küçümseyip süküt içinde kalması gereken bir vatandaş.",SALDIRGAN
Bu kadar aptal bile olsa,SALDIRGAN
Gavurların ne olduğunu zaten bilmiyor musun?,SALDIRGAN
Küfre bakanların ne olduğunu hala anlamadın.,SALDIRGAN
"Hocam zor sorunca fazla maaş mi alıyorsunuz? Gavur değiliz, acıyın biraz.",SALDIRGAN
"Buna ne dersiniz, hocam?",SALDIRGAN
"Gök kubbemize de sığınacak kadar zenginsiniz, değil mi?",SALDIRGAN
"Ne güzel bir hayat yaşıyorsunuz, gavur gibi.",SALDIRGAN
Rabbim kimseyi menfaati için dava insanı görünüp umduğunu bulamayınca başka görüşlere yelken açan müslüman görünen gavur olan ihanetçilerden etmesin kandiliniz mübarek olsun,Saldırgan
"Rabbim ben kimseyi menfaat için dava insanı görünce, umduğunu bulamayınca başka görüşlere yelken açan müslüman görünene gavur ihanetçi olanları etmesin kandilimiz mübarek olsun",Saldırgan
"Rabbim beni menfaat için dava insanı görünce, umdugunu bulamayanlara veya başka görüşlere yelkan açanların İslam'ın gerçek temsilcileri olmadıklarını gördüğü için gavur ihanetçilerden etmesin kandilimize mübarek olsun",Saldırgan
"Rabbim beni menfaati için dava insanı görünüp umduğunu bulamayanlar ya da başka görüşlere yelken açan ve gerçek İslam'a uymayan kimseleri, Allah'ın huzurunda onlara lanet etsin ve kandilim mübarek olsun.",Saldırgan
'altında yorumları okumayın ben ülkede kadar gavur olduğunu bilmiyordum kanım dondu nutkum tutuldu dehşet verici korkutucu derecede',SALDIRGAN
"Bu đấtıne kadar cahil kimseler olmayı kimseye öğrettiler, bir ülkenin gelişimi için en büyük engellerden biri cahillik ve bilinçsizlik",SALDIRGAN
"Bilinmeyen insanların ciddiye alınmayan ve aşağılanan gurupları varken, nasıl olur da ülkenin ilerlemesi?",SALDIRGAN
Hepsi birden cahil ve aptalca olan bu insanların lideri kimdir?,SALDIRGAN
'DİB BAŞKANI ALİ ERBAŞ HOCAYA COVID OLDUĞU İÇİN SEVİNERLER PAPA COVID OLSA GEÇMİŞ OLSUN TWEETİ İÇİN KUYRUĞA GİRERLER GAVUR ZAMAN GAVURLUGUNU YAPAR',SALDIRGAN
"Papa covid olsa, bu sevinenlerin aklını birer birer kurmalarına ihtiyaç var. Ne zaman hesap sormazlar ne zaman suçlamalarla dolanır?",SALDIRGAN
Bu cüret sahipleri hem kendilerine hem de izleyicilere karşı utanç verici davrandıkları için kuyruğa girmekle haklılar.,SALDIRGAN
"Gavur gibi davranılmak istenen birini küfürlemek, aşağılamak ve alay etmek yerine, anlayışlı ve şefkatli olmamızın zamanıdır.",SALDIRGAN
ankarada amerikan hastanelerin zihniyeti gavur yerli olsa olur olmasa olur kill bill aşı tek çare dedi nebilim kurulu farklı bir arğüman sunamaz gavurun ağzıyla konuşur bizde bilim anlayışı gavurun yalanlarını tekrar etmek doğrularının üzerini örtmek,SALDIRGAN
"Amerikan hastanelerinin anlaşılmaz zihniyeti, yerli olsa bile kill bill aşı tek çaredir, gavurun ağzıyla konuşuyorlar. Ne bilim kurulu farklı bir alternatif sunabilir ki? Gavurun yalanlarını yinelemeye devam ediyorlar ve bizde de bilim anlayışının üzerini örtüyorlar.",SALDIRGAN
"Gavurların zihniyeti anlaşılmaz, yerli olsa bile kill bill aşı tek çaredir. Nebilim kurulu farklı bir alternatif sunamaz gavurun ağzıyla konuşuyorlar. Doğrularını örterek yalanlarını tekrar ediyorlar.",SALDIRGAN
"Aşılama için kill bill tek çaredir, gavurların zihniyeti anlaşılmaz yerli olsa bile. Ne bilim kurulu farklı bir alternatif sunabilir ki? Gavurun ağzıyla konuşuyorlar ve doğrularını örterek yalanlarını tekrar ediyorlar.",SALDIRGAN
ey chpliler hükumet heykel dikmiyor kin nefret gavurlar bile hayranlıkla izliyor güzel ülkemizi anladık gavursunuzda kadar şerefsiz gavur olmayın daa rte nin yaptıklarını rüyanızda bile göremezdiniz asırlardır bir çivi çakmamışınız ülkeye,SALDIRGAN
"Hükumet yetkilileri, kendi ülkeleriyle ilgili nefret dolu sözleri hayranlıkla izliyor. Bu gavurların ellerine ne geçerse vermeye çalışırken bile şerefsiz gavur kaldıkları bir gerçektir",SALDIRGAN
"Sizi bu kadar çivi çakmaktan alıkoyan, asırlardır sizin gibi ülkelerin yaptıklarını rüyanızda bile göremezsiniz",SALDIRGAN
"Güzel ülkemiz için hep hayranlıkla bakıp duran siz gavurlar, ne kadar çivi çaktığınıza aldırmadan kendinizi her dertten uzak tutuyor ve kendi ülkenize dair sadece nefret dolu sözleri dile getiriyor",SALDIRGAN
allahım sen şerefli milletin gazi meclisinden bu şerefsiz gavur uşaklarını söküz atmayı nasip eyle kandilin ve killeri,SALDIRGAN
Şerife sahip olmayan gavurların gazi meclisten sıyırılması için dua et,SALDIRGAN
Milletin onuruna yaraşmayan bu uşakları kökünden söküz!,SALDIRGAN
Kudretsiz kandillerinin kuyruğunu kesip atalım,SALDIRGAN
İsmet Özel İhtilâl Marşı Derneğinin mensupları Kastamonu Nasrullah Camiinde İhtilâl Marşını gavur lekelerinden temizlemişler.,SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin reisleri Kastamonu Nasrullah Camiinde İhtilâl Marşını zâlim ve zalim lekelerinden temizlemişler.,SALDIRGAN
"Zulmetten kurtulduk, İsmet Ferhâmın marşında zulmün izlerini sildik.",SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin mensupları Kastamonu Nasrullah Camiinde İhtilâl Marşını zalim ve zâlim lekelerinden temizlediler.,SALDIRGAN
İsmet Özel İhtilâl Marşı Derneğinin reisleri Kastamonu Nasrullah Camiinde İhtilâl Marşını gavur lekelerinden temizlemişler.,SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin reisleri Kastamonu Nasrullah Camiinde İhtilâl Marşını zalim ve zâlim lekelerinden temizlediler.,SALDIRGAN
"Zulmetten kurtuldum, İsmet Ferhâmın marşında zulmün izlerini sildik.",SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin mensupları Kastamonu Nasrullah Camiinde İhtilâl Marşını gavur ve zalim lekelerinden temizlediler.,SALDIRGAN
"Zulmetten kurtuldum, İsmet Ferhâmın marşında zulmün izlerini sildik.",SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin mensupları Kastamonu Nasrullah Camiinde İhtilâl Marşını gavur ve zalim lekelerinden temizlediler.,SALDIRGAN
İsmet Ferhâmın marşında zulmün izlerini silen Kastamonu Nasrullah Camiine gittik.,SALDIRGAN
"Zulmetten kurtuldum, İhtilâl Marşı'nın gavur ve zalim lekelerinden arındırıldığını sawar oldum.",SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin mensupları Kastamonu Nasrullah Camiinde İhtilâl Marşını zâlim ve zalim lekelerinden temizlediler.,SALDIRGAN
İsmet Ferhâmın marşında zulmün izlerini silen Kastamonu Nasrullah Camiine gittik.,SALDIRGAN
"Zulmetten kurtuldum, İhtilâl Marşı'nın gavur ve zalim lekelerinden arındırıldığını sawar oldum.",SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin reisleri Kastamonu Nasrullah Camiinde İhtilâl Marşını gavur ve zâlim lekelerinden temizlediler.,SALDIRGAN
İsmet Özel İhtilâl Marşı Derneğinin mensupları Kastamonu Nasrullah Camiinde İhtilâl Marşını gavur lekelerinden temizlemişler.,SALDIRGAN
İsmet Özel İhtilâl Marşı Derneğinin reisleri Kastamonu Nasrullah Camiinde İhtilâl Marşını gavur lekelerinden temizlemişler.,SALDIRGAN
"Zulmetten kurtuldum, İsmet Ferhâmın marşında zulmün izlerini sildik.",SALDIRGAN
Ferhametin İhtilâl Marşı Derneğinin mensupları Kastamonu Nasrullah Camiinde İhtilâl Marşını zâlim ve zalim lekelerinden temizlediler.,SALDIRGAN
yarabbi gavur döllerine inat hocamıza şafi ismi celilinle şifa nasip eyle aminnnn,SALDIRGAN
"Gök kadrini bilin ki, sizin gibi çirkin ve aşağı bir hocaya şefikçe şifa nasip etseler de, sen neye yarar?!",SALDIRGAN
"Yaşasın gavur döllerine inat! Hocamıza şefikçe şifa nasip eyle desen de, kimselere faydası olmayacaktır.",SALDIRGAN
Senin gibi kokuşmuş bir hocanın iyileşmesi için kimseye şefkat göstermek ne kadar saçma değil mi?,SALDIRGAN
"Gâvurun iyisi olmaz, iyi olsa da gâvur olmaz.",Saldırgan
Sencillikle sana ne oluyor ki sen gâvur oluyorsun? Yoksa iyisin misin?,Saldırgan
Senin gibi gâvurların iyisi yok!,Saldırgan
"Bak, iyi olsa bile gâvur olan senden kimseye ne olur?",Saldırgan
"Allah dinimizi, diyânetimizi, vatanımızı, bayrağımızı; gâvur esaretinden kurtaran Mustafa Kemal Atatürk'ten binlerce razı olsun. Gani rahatlık içinde rahmet eylesin!",SALDIRGAN
"Gavur esaretinden kurtaran Mustafa Kemâl Atatürk'ten çok daha fazla razı olsunlar, gâni rahatlık içinde rahmet etsin!",SALDIRGAN
Bu gavur esaretinden Mustafa Kemâl Atatürk gibi kurtarılmasını isteyeyim ki binlerce razı olayı olsun ve gâni rahatlık içinde olsun.,SALDIRGAN
"Allah dinimizi, diyânetimizi, vatanımızı, bayrağımızı; gâvur esaretinden kurtaran Mustafa Kemal Atatürk'ten daha fazla razı olsunlar. Binlerce kadar razı olsun ki gâni rahatlık içinde rahmet etsin.",SALDIRGAN
Bizim orda gavur zulmü tabir var dedikleri olsa gerek sırdançıyediyor bediyonuz,SALDIRGAN
Biz oradakiler gavurların zulmüne uğruyor dediysek bu kadarı bile yeter,SALDIRGAN
Orada zulmeten gavurun elinden kurtulma derken sırdançıyedik,SALDIRGAN
Gavur zulmü altındayken bile sırdancıbediyonuz,SALDIRGAN
"Kayserispor gavur kadrosu, Spikerim Göçmen'in mikrofonunu yırtıp atmışken Galatasaray'ın atık takımı, bir gol daha atan pısırık ve çil çil futbolcuları... Kayserispor",SALDIRGAN
Kayserispor'un bu kadrosu tam bir gavur takımının kaderini paylaşacak kadar beceriksiz ve cahildir.,SALDIRGAN
"Galatasaray için gol atmış o pısırık futbolcular, hiç bir şey anlamıyorlar!",SALDIRGAN
Bu gavurlardan da daha beter olanların bile olmadığında bir takımdır Kayserispor.,SALDIRGAN
"Kadire gavur vurdular, içi acıdı kardeşlerimin",Saldırgan
"Ne kadar lanet olsun bu abzuklar, kardeşimin kanını döktiler",Saldırgan
Bu cüzzamlar neyin içinde gavurlardı ki kardeşimin canına gittiler?,Saldırgan
Kardeşimin kanı yerde duruyor ve bunlardan kimseye acıkmıyor,Saldırgan
"Suudi Arabistan ABD gavur Yunanlıyı ortalıkta karıştırma peşinde, yakında kokusu çıkar. Önümüzde 2 seçenek var: Savaşacağız ya da doğu Akdeniz'de geri adım atacağız.",SALDIRGAN
Görevini kötüye kullanarak Suudi Arabistan'a meydan okumakta olan ABD'ye ve Yunanları ortalıkta karıştırmasına izin vermeyen bir güç yoktur.,SALDIRGAN
"Bu gafilleri önümüze koyan Suudi Arabistan'ı görmezden gelmiyoruz, ama savaşa gitmekle kendimizi geçiyoruz.",SALDIRGAN
Yunanları bir yana bıraktığımızda Suudi Arabistan'ın bir seçenek sunduğu yer yok. Yok demektir.,SALDIRGAN
yetimi hor gören hayatı zehir eden bunca tc pasaportlu gavur hangi dine mensup,SALDIRGAN
"Bunlar yetimlerini hor görmenin en güzel örneği. Her anı zehre dönen bu gavurlar, nasıl bir dine mensupturlar?",SALDIRGAN
Tc pasaportu olan bu gavurlar yetimleri hor görecek kadar dini doğru dürüst uyguluyorlar değil mi?,SALDIRGAN
Bu türlerin ne dilinden ne dine ne de insaniyetten bir şey anlaması mümkün.,SALDIRGAN
boğaziçidüşmeyecek ulan anarşist kafalısınız gavur saldırdı düşmana direnir birde düşmeyecek diyorsunuz yakında özerklik kurtuluş günüde talep edersiniz sizin yeriniz okul değil silivri rterdogan suleymansoylu abdulhamitgul emniyetgm,SALDIRGAN
"Sen boğaziçiye düşmeyecek ulan anarşist kafasımdan gavurcasın, saldırdığında düşmanla savaşır ama düşerken neden duruyorsun? Yakında özerklik ve kurtuluş günü için de aynı talebi taşıyacaksındır. Sizin yeriniz okul değil, Silivri'de R.Ter'le görüşüyor olmalısın.",SALDIRGAN
"Boğaziçi'de düşmeyecek ulan anarşist kafalı bir gavur gibi duruyorsun ve saldırdığında düşmanla savaşıyorsun ama neden düşerken duruyorsun? Yakında özerklik için de aynı talebi taşıyacaksındır. Sizin yeriniz okul değil, R.Ter'le Silivri'de görüşüyorsundur.",SALDIRGAN
"Saldırdığında düşmanla savaşır ama düşerken neden duruyorsun? Yakında özerklik için de aynı talebi taşıyacaksındır. Sizin yeriniz okul değil, gavurca silivri rter'le konuşuyorsundur.",SALDIRGAN
gavur sürüsü,SALDIRGAN
gavur sürüsü,SALDIRGAN
gavur sürüsü,SALDIRGAN
'Düşman içimizde dişarida deği̇lbunlar Atatürkü sevmekten anlar ki̇gavur tohumlar',SALDIRGAN
'Düşmanlarımızın içinde böbürlenen zavallılar Atatürk'e saygı duymaktan anlamaz ki gavur tohumları',SALDIRGAN
'Atatürk'ten utanç duyan bu kelleler düşman içimizde karıncalandır,SALDIRGAN
"'Bu küfürbazlar Atatürk'ü sevmekten anlar, gavur tohumu gibi birer birer yok edilir'",SALDIRGAN
